Galaxy,Q,inc0,nll_R,chi_R,nll_Y,chi_Y,bY,nll_N,chi_N,bN,N
CamB,2,65.0,211.83643750748408,20.397983941579533,48.65947764456587,1.8547519879747496,False,66.37974720968501,4.592144511814711,False,9
D512-2,2,56.0,18.98023231323897,0.10075167270437992,23.119484758890355,0.40837606198996307,True,17.822716923767796,0.07559473740036494,True,4
D564-8,2,63.0,31.689698570111847,1.494600964719515,43.67931169915124,3.0887407029081686,True,23.527186839655702,0.8574856161872937,True,6
D631-7,1,59.0,193.5068737931819,7.703863474044063,195.61087578391346,6.69187234930406,False,135.6462053801319,4.527569994482856,True,16
DDO064,1,60.0,76.46639169622885,0.29212917091113294,83.21179922227158,0.3044439729865101,True,76.3935357198198,0.42476982785351736,True,14
DDO154,2,64.0,60.34024266586982,1.6632458550450366,131.0262062102284,5.593163692592397,True,66.05252528574383,2.8934902245189584,True,12
DDO161,1,70.0,164.64348954114257,0.8717444092974596,227.31398478337354,1.4237204035114557,False,140.3814032919269,0.6118309199901392,True,31
DDO168,2,63.0,90.96465166540081,4.813895333247997,85.51467245862337,3.0418594657762155,True,85.40983805107317,4.816267009202117,True,10
DDO170,2,66.0,37.43636248216134,0.562184459306579,60.88668694334965,1.6178599743830118,True,34.09462066629916,0.8421621195057977,True,8
ESO079-G014,1,79.0,119.99295145972201,1.751537858752607,127.69487167924039,0.7254659381815466,False,115.4470637897698,1.8825461226311506,True,15
ESO116-G012,1,74.0,94.31741946887885,1.0456767620789351,129.5667831378797,1.646779286012115,False,89.22260126272954,1.1918867796744466,True,15
ESO444-G084,2,32.0,35.2622703880752,0.9054839749567372,67.92623680444913,4.326510954794031,True,30.726788893736824,0.38150897256202726,True,7
ESO563-G021,1,83.0,412.4720195199923,6.370238113883235,385.2792963469575,3.6466522335740454,False,455.8752113407053,8.342437299481663,True,30
F561-1,3,24.0,40.92713704586665,0.6349264396753084,38.82468085252809,0.1887089607527942,False,34.40682171679584,0.36781313024453866,True,6
F563-1,1,25.0,127.24834981924809,0.9556109084144478,141.1339209562191,1.4140688699885984,False,121.6553608232079,0.908726120701737,True,17
F563-V1,3,60.0,37.84730789825475,0.7797975454626173,33.735203973502955,0.08437768182022175,True,31.290640186905925,0.13064900096513887,True,6
F563-V2,1,29.0,72.47709896491645,0.37689502611453707,67.80488300036725,0.0847744595601527,True,65.67929604206213,0.31529726771017924,True,10
F565-V2,2,60.0,43.16800919583244,0.27155766512605634,63.22386241383394,2.26843224336796,True,42.325201447187844,0.2772946384415022,True,7
F567-2,3,20.0,35.217669036565205,0.2952190321265007,30.220616263429626,0.18554354308963497,False,27.343587501376597,0.30578128610837735,False,5
F568-1,1,26.0,86.27043288688124,0.7043098322623145,91.99400056654116,0.6837294345543947,True,84.74159072242162,0.6954535764891747,True,12
F568-3,1,40.0,144.14937309602612,1.7759090837751919,130.04108339570303,0.7478085092021698,False,147.00656091083977,2.5458169619099,True,18
F568-V1,1,40.0,108.5513146259305,0.42005712657486005,120.01323831314205,0.5650280754580087,True,102.76558579519924,0.14843160685796944,True,15
F571-8,1,85.0,304.5935928139216,17.654197618865116,201.05874956403906,8.208450993921678,False,105.42703743059698,2.679620544680614,True,13
F571-V1,2,30.0,44.57641711028812,0.3305062339775334,47.30413712399286,0.6361560108264358,False,38.01784706847502,0.2390819829614297,True,7
F574-1,1,65.0,91.0584072312321,1.0075394697761928,105.48747297967932,0.7227255996679315,False,87.06163240962653,1.1323679220053227,True,14
F574-2,3,30.0,40.8100571571353,0.6354838012851429,33.83331996381226,0.32054000497683444,False,32.154814520251236,0.24137643016385205,False,5
F579-V1,1,26.0,119.03506553837238,1.6174022364477334,97.02538610153718,0.21216673824443083,True,86.79841637660066,0.24114516788111848,True,14
F583-1,1,63.0,173.88320939446453,1.142731535840621,190.70890602680566,1.0883335060102353,False,173.10991483592457,1.2383344158940575,True,25
F583-4,1,55.0,64.67489165925596,0.0896093665401367,75.48248561562815,0.23653238564233647,True,60.776356576600485,0.08450995308321364,True,12
IC2574,2,75.0,246.381555047023,2.555181608623504,237.26091136181788,1.272018947996167,False,479.37310881731605,10.196825822791357,False,34
IC4202,1,90.0,673.7388541484335,14.050272613315066,492.81426811208166,6.51133015392838,False,649.7068312170029,13.862206888592551,True,32
KK98-251,2,59.0,64.87252733342793,0.8747876363320272,68.04249763500908,0.14351918000983951,False,57.932557012400366,0.634066465435288,False,15
NGC0024,1,64.0,188.44362093437667,0.3481244914103999,231.30312943264167,0.7537350593474418,False,183.5974490495159,0.37547616613449414,True,29
NGC0055,2,77.0,130.13253805180938,0.9797320324133855,166.11242587039948,1.1735520021416026,False,127.68542677491972,1.3046938127515064,True,21
NGC0100,1,89.0,145.54383218257547,1.3947583116811768,178.14359638011814,1.7225406967465546,False,125.79350931436193,0.67203241183919,True,21
NGC0247,2,74.0,158.02415371512765,0.5919011515792308,192.7918785956159,0.33464652862621064,True,147.06787760888952,0.5939355482611443,True,26
NGC0289,2,46.0,210.32727350693048,0.5204657197348823,243.18584747399916,0.24575108643233387,True,205.15714141001257,0.8355010136098527,True,28
NGC0300,2,42.0,150.41646815469122,0.4742586122106412,192.7794613029077,1.2888493540976862,False,139.8424769708644,0.5230375802424322,True,25
NGC0801,1,80.0,119.32871936263632,2.3737053665320054,130.58826917052988,1.2298272458840154,False,110.92343798941867,2.3559107365690823,True,13
NGC0891,1,90.0,155.29100889516343,1.7615023542653054,175.3144035424582,0.7910615697901049,True,147.68210788932743,2.051956806405825,True,18
NGC1003,1,67.0,224.9941423458782,0.8400140013208062,321.0474784386572,1.6064173289755714,True,197.5729236354875,0.725005595066999,True,36
NGC1090,1,64.0,173.86923694609297,0.9813954748229573,234.3044931867766,1.623432722552571,False,169.83302620017696,1.3686529072677562,True,24
NGC1705,3,80.0,82.29480458141356,0.27514621503888975,102.09803132205619,0.3959677474669439,True,76.38403112055357,0.056951887483026806,True,14
NGC2366,3,68.0,148.97520274445853,1.3421690058200157,209.42569871457982,2.5602705763432585,False,161.31852517383436,2.3900217329282127,True,26
NGC2403,1,63.0,424.9756819167704,0.5048612193042057,730.8136992264558,2.683501895810204,False,402.85081924385656,0.8454965261020874,True,73
NGC2683,2,80.0,85.07110574952857,0.7305552056786357,97.6763484205091,0.2739891722437952,True,78.7245353278372,0.5581762448334221,True,11
NGC2841,1,76.0,384.9389813283589,0.18873497146284912,483.31317153112906,0.12407637517723298,True,354.0468761816165,0.22755865557658084,True,50
NGC2903,1,66.0,444.9916446535278,6.590131596778882,506.61588520706187,6.385335431944086,True,335.0468419464578,3.9933557145603826,True,34
NGC2915,2,56.0,244.96904804236823,2.179644206112564,291.4109250419878,2.5897121485865973,True,209.6904707535384,0.9885713686839501,True,30
NGC2955,1,56.0,210.75770948087813,1.3068541187590075,226.85004619570313,0.31867400837285587,True,212.29733338585982,2.160047970822512,True,24
NGC2976,2,61.0,159.04204936834338,0.9406858696667887,166.8624330288667,0.22831532488413137,False,132.51508233016983,0.5879625297584486,False,27
