Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
CamB,0.0012499999999999996,,0.7585775750291838,0.0,0.8771355828942353,True,0.0,0.0,4.0,9
D512-2,0.0012499999999999996,,1.096478196143185,594.3460870145125,0.8846429443480291,True,3.229776186867962,0.0,4.0,4
D564-8,0.0012499999999999996,,1.0,444.4027094003054,0.2264347218458528,True,0.6652930354335176,2.0,3.0,3
D631-7,0.0012499999999999996,,0.9549925860214359,2320.8009480743585,1.1591330247576144,True,10.207081947101344,3.0,6.0,10
DDO064,0.0012499999999999996,,1.0,1393.9121904531478,0.0004295511842754494,True,-0.0011591683437899292,2.0,4.0,4
DDO154,0.0012499999999999996,,1.0,1831.7904298359495,0.20928576478206215,True,0.6517060765354152,3.0,3.0,6
DDO161,0.0012499999999999996,,0.7585775750291838,2400.832642388791,1.970054583902516,True,39.88779456981726,3.0,6.0,22
DDO168,0.20223346697975184,4.944779985896808,1.0,2242.30753129828,0.0574611233652135,False,-0.042126197476036964,3.0,3.0,3
DDO170,0.0012499999999999996,,0.9549925860214359,2262.114546040543,0.7671357914924631,True,5.084532535340834,2.0,6.0,7
ESO079-G014,0.01175824561323313,85.04670108902693,1.6595869074375609,0.0,2.752996866179426,False,13.214966760569894,3.0,6.0,11
ESO116-G012,0.0012499999999999996,,0.7244359600749901,7717.108586233989,2.631730429621139,True,23.57361752788922,3.0,6.0,10
ESO444-G084,0.0012499999999999996,,1.0,3245.9613598605965,0.8065579626160361,True,2.271098999907654,2.0,3.0,3
ESO563-G021,0.006159489042405721,162.35112898413868,1.4454397707459277,0.0,21.56848751514023,False,464.1951955043741,3.0,6.0,27
F561-1,0.5,2.0,0.8317637711026711,379.89783469441267,0.3277989515240659,False,-0.29267309743643466,2.0,4.0,5
F563-1,0.0012499999999999996,,1.0,9307.13607294425,0.5588824152194302,True,5.254694227037007,3.0,6.0,13
F563-V1,0.5,2.0,0.9549925860214359,3.9608708539631667,0.14808660383427716,False,1.9978119993730665,3.0,4.0,4
F563-V2,0.0020082992662547837,497.9337575842816,1.0,10672.965535144227,0.0005976349775952491,False,-0.006858456889247577,3.0,6.0,5
F565-V2,0.0012499999999999996,,1.0,4644.235193207112,1.3598933269997022,True,6.657009854763267,3.0,4.0,5
F567-2,0.0012499999999999996,,1.0,1063.372646841941,0.029060221933840148,True,0.026572735681135384,2.0,4.0,4
F568-1,0.0012499999999999996,,1.0471285480508996,11683.064709291828,0.9058424179868947,True,7.74673571521474,3.0,6.0,9
F568-3,0.0012499999999999996,,1.2022644346174132,4721.101139610794,1.4966650211365113,True,16.68847893178456,3.0,6.0,13
F568-V1,0.0012499999999999996,,1.0,9250.848429561665,0.4883818162038974,True,4.233497930585727,3.0,6.0,11
F571-8,0.0012499999999999996,,0.3630780547701014,12304.269727726181,12.681179917921611,True,94.44928956966359,3.0,6.0,9
F571-V1,0.0012499999999999996,,0.9549925860214359,4617.330398680344,1.1730414516182532,True,6.666391620341479,2.0,6.0,6
F574-1,0.0012499999999999996,,1.2589254117941675,5297.004739473677,1.092483550773551,True,11.628327277987992,3.0,4.0,11
F574-2,0.0012499999999999996,,0.8709635899560807,0.0,0.2684536984823764,True,0.0,3.0,6.0,4
F579-V1,0.0012499999999999996,,1.0,6963.802346969821,0.030171182387624368,True,-0.13128294963371445,3.0,6.0,10
F583-1,0.0012499999999999996,,0.9549925860214359,4204.710342288176,1.1640243768995557,True,16.0464215519536,3.0,6.0,15
F583-4,0.0012499999999999996,,1.0,2275.188510175374,0.8044391273341567,True,5.766805192551352,2.0,3.0,8
IC2574,0.0012499999999999996,,1.2589254117941675,1531.6827249992118,1.7169619456452057,True,36.654940076933,3.0,6.0,26
IC4202,0.0012499999999999996,,0.8317637711026711,13172.014803224245,6.058424089500269,True,134.87705766992735,3.0,6.0,29
KK98-251,0.0012499999999999996,,1.0,669.7218210384995,0.03643670017897598,True,0.1173922651364876,2.0,3.0,4
NGC0024,0.0012499999999999996,,0.9549925860214359,8961.389767024702,0.6400395211846365,True,2.541626345839404,3.0,6.0,4
NGC0055,0.0012499999999999996,,1.318256738556407,2577.974018299238,1.9153063316707295,True,29.539670654966173,3.0,6.0,18
NGC0100,0.0012499999999999996,,0.7244359600749901,4521.210897177206,1.506898031456617,True,20.46073248065322,3.0,6.0,14
NGC0247,0.0012499999999999996,,1.5135612484362084,3243.308799367791,1.6746678781289268,True,34.949720265835026,3.0,6.0,22
NGC0289,0.0012499999999999996,,0.3630780547701014,22943.011553253233,1.6997406960643269,True,10.092477468617517,3.0,6.0,26
NGC0300,0.0012499999999999996,,0.7585775750291838,5715.089702658099,1.141353410361965,True,19.58067435566187,3.0,6.0,20
NGC0801,0.0012499999999999996,,0.3630780547701014,29838.745201281297,1.0182951906993687,True,7.365259381193532,3.0,6.0,9
NGC0891,0.0012499999999999996,,0.251188643150958,30034.92414141666,4.8881524092468975,True,60.50816648592328,3.0,6.0,16
NGC1003,0.0012499999999999996,,0.31622776601683794,9106.982948059289,3.179498500458882,True,93.67551515643208,3.0,6.0,33
NGC1090,0.0012499999999999996,,0.436515832240166,16928.281815217062,2.4410088256524167,True,40.593179787872344,2.0,6.0,21
NGC1705,0.0012499999999999996,,1.0,4337.105537925775,0.027356835289287614,True,0.1875754736219193,3.0,4.0,7
NGC2366,0.016599743454806373,60.24189486557727,1.0,1741.6585101799515,0.17510593728064983,False,0.1920951268970299,3.0,3.0,13
NGC2403,0.0012499999999999996,,0.251188643150958,13012.55745177623,3.4378355782001218,True,139.42515786324344,3.0,6.0,44
NGC2683,0.0012499999999999996,,0.5754399373371569,16801.316741257084,0.9762378739138355,True,1.6945224805340615,3.0,6.0,10
NGC2841,0.0012499999999999996,,0.34673685045253166,72323.59243868713,1.124313934241017,True,27.863593836064922,0.0,6.0,50
NGC2903,0.0012499999999999996,,0.251188643150958,28155.706132735228,1.4668811874062422,True,29.94307331181038,3.0,3.0,25
NGC2915,0.0012499999999999996,,0.9549925860214359,6073.319397373331,0.1541272775050369,True,-0.7386742064431076,3.0,4.0,22
NGC2955,0.0012499999999999996,,0.31622776601683794,36349.94010184465,2.527888259440079,True,-0.9565612322753339,3.0,6.0,21
NGC2976,0.0012499999999999996,,0.9549925860214359,0.0,0.7389179825506759,True,0.0,0.0,3.0,27
NGC2998,0.0012499999999999996,,0.436515832240166,29380.781016427973,1.6114745142804454,True,9.627278484818603,3.0,6.0,9
NGC3109,0.0012499999999999996,,1.0,3081.385814260727,0.9318360555732355,True,12.808133189685918,3.0,6.0,14
NGC3198,0.0012499999999999996,,0.2630267991895382,16593.903329593395,5.111541043186134,True,166.75192025454007,3.0,6.0,34
