Galaxy,m,rc,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
CamB,0.0012499999999999996,,0.0,1.3321911681804073,True,0.0,0.0,4.0,9
D512-2,0.0012499999999999996,,629.8827361287841,0.9444160204801093,True,3.468868491396279,0.0,4.0,4
D564-8,0.0012499999999999996,,444.4027094003053,0.2264347218458523,True,0.665293035433514,2.0,3.0,3
D631-7,0.0012499999999999996,,2312.115264626931,1.167506569286388,True,10.290817392389094,3.0,6.0,10
DDO064,0.0012499999999999996,,1393.9121904531478,0.0004295511842754494,True,-0.0011591683437899292,2.0,4.0,4
DDO154,0.0012499999999999996,,1831.7904298359495,0.20928576478206215,True,0.6517060765354152,3.0,3.0,6
DDO161,0.0012499999999999996,,2313.493346631888,2.1105853579679206,True,42.26801455330862,3.0,6.0,22
DDO168,0.20223346697975184,4.944779985896808,2242.3075312982805,0.05746112336521352,False,-0.042126197476036964,3.0,3.0,3
DDO170,0.0012499999999999996,,2247.2903977137416,0.7731323422710056,True,5.126508390790633,2.0,6.0,7
ESO079-G014,0.0012499999999999996,,8622.049960687476,8.451602769083946,True,77.05039163242952,3.0,6.0,11
ESO116-G012,0.0012499999999999996,,6787.989032483164,3.0942664208734776,True,28.132196537531335,3.0,6.0,10
ESO444-G084,0.0012499999999999996,,3245.961359860596,0.8065579626160343,True,2.2710989999076467,2.0,3.0,3
ESO563-G021,0.0012499999999999996,,23616.37097354068,28.776544458091475,True,655.6143190081133,3.0,6.0,27
F561-1,0.0012499999999999996,,0.0,0.6809429357753578,True,0.0,2.0,4.0,5
F563-1,0.0012499999999999996,,9307.13607294425,0.5588824152194302,True,5.254694227037007,3.0,6.0,13
F563-V1,0.0012499999999999996,,0.0,0.16576660651050176,True,0.0,3.0,4.0,4
F563-V2,0.0020082992662547837,497.9337575842816,10672.965535144225,0.0005976349775952438,False,-0.006858456889247577,3.0,6.0,5
F565-V2,0.0012499999999999996,,4644.235193207113,1.3598933269997027,True,6.657009854763267,3.0,4.0,5
F567-2,0.0012499999999999996,,1063.3726468419413,0.029060221933840245,True,0.026572735681135384,2.0,4.0,4
F568-1,0.0012499999999999996,,11784.554758359365,0.915994254555283,True,7.83810224433023,3.0,6.0,9
F568-3,0.0012499999999999996,,5178.279555357778,1.588339923488344,True,17.880252662358373,3.0,6.0,13
F568-V1,0.0012499999999999996,,9250.848429561665,0.4883818162038974,True,4.233497930585742,3.0,6.0,11
F571-8,0.0012499999999999996,,8138.443017051464,20.880955148844897,True,127.92793363743644,3.0,6.0,9
F571-V1,0.0012499999999999996,,4573.699236199084,1.186420494524426,True,6.7466658777785184,2.0,6.0,6
F574-1,0.0012499999999999996,,5894.335999266392,0.7187196284099127,True,7.664727570740169,3.0,6.0,11
F574-2,0.0012499999999999996,,0.0,0.5544541994444332,True,0.0,3.0,6.0,4
F579-V1,0.0012499999999999996,,6963.802346969819,0.03017118238762446,True,-0.13128294963371445,3.0,6.0,10
F583-1,0.0012499999999999996,,4178.5718467466,1.1693744919586853,True,16.126673277840524,3.0,6.0,15
F583-4,0.0012499999999999996,,2275.1885101753733,0.8044391273341565,True,5.723102710523108,2.0,3.0,8
IC2574,0.0012499999999999996,,1692.296272525133,1.782328903086063,True,37.601571855867775,3.0,6.0,26
IC4202,0.0012499999999999996,,4914.721419561874,6.335922974420798,True,84.05405745040025,3.0,6.0,29
KK98-251,0.0012499999999999996,,669.7218210384995,0.03643670017897598,True,0.1173922651364876,2.0,3.0,4
NGC0024,0.0012499999999999996,,8866.416517138632,0.6634226719400557,True,2.6351589488610827,3.0,6.0,4
NGC0055,0.0012499999999999996,,3140.7607499371384,2.0583105925132115,True,31.721213371873986,3.0,6.0,18
NGC0100,0.0012499999999999996,,3849.4417161486,1.8269099769510024,True,24.385372909156615,3.0,6.0,14
NGC0247,0.0012499999999999996,,4614.353390762896,1.955598695735155,True,41.13019825317201,3.0,6.0,22
NGC0289,0.0012499999999999996,,14154.100994927572,8.537249302292878,True,152.87655312722208,3.0,6.0,26
NGC0300,0.0012499999999999996,,5222.008117742807,1.31450095235067,True,23.043625195435965,3.0,6.0,20
NGC0801,0.0012499999999999996,,0.0,20.79708820644344,True,25.59933694712379,3.0,6.0,9
NGC0891,0.0012499999999999996,,0.0,108.22516517196334,True,0.0,3.0,6.0,16
NGC1003,0.0012499999999999996,,7350.577957964794,6.6798178749496815,True,203.27068464988494,3.0,6.0,33
NGC1090,0.0012499999999999996,,5443.225580598769,6.873334010506225,True,100.84572939013387,2.0,6.0,21
NGC1705,0.0012499999999999996,,4337.105537925775,0.027356835289287614,True,0.1875754736219335,3.0,4.0,7
NGC2366,0.016599743454806373,60.24189486557727,1741.6585101799517,0.17510593728064988,False,0.1920951268970228,3.0,3.0,13
NGC2403,0.0012499999999999996,,8499.06594760691,11.196084465790353,True,443.38555260818345,3.0,6.0,44
NGC2683,0.0012499999999999996,,2745.65217632421,8.237732591538013,True,45.29863397517093,3.0,6.0,10
NGC2841,0.0012499999999999996,,42892.639182927116,18.371008796756378,True,890.1983369618329,0.0,6.0,50
NGC2903,0.0012499999999999996,,0.0,55.68908956550184,True,445.8377456624137,3.0,6.0,25
NGC2915,0.0012499999999999996,,6052.148343012776,0.15624451594772448,True,-0.6920949607039688,3.0,4.0,22
NGC2955,0.0012499999999999996,,0.0,43.9431733230465,True,0.0,3.0,6.0,21
NGC2976,0.0012499999999999996,,0.0,0.9617853669250805,True,0.0,0.0,3.0,27
NGC2998,0.0012499999999999996,,11931.669343626301,10.385917744488042,True,69.6897460708996,3.0,6.0,9
NGC3109,0.0012499999999999996,,3081.385814260727,0.9318360555732355,True,12.808133189685918,3.0,6.0,14
NGC3198,0.0012499999999999996,,7650.068803788977,14.72687009169562,True,454.35890044750397,3.0,6.0,34
NGC3521,0.0012499999999999996,,0.0,23.721675951227056,True,0.0,3.0,6.0,26
NGC3726,0.0012499999999999996,,0.0,17.45998556222584,True,3.14101512858349,0.0,6.0,12
NGC3741,0.0012499999999999996,,2048.136772604221,1.2341428714383782,True,10.836064582997494,3.0,3.0,9
NGC3769,0.0012499999999999996,,3557.091109912235,9.269145312620568,True,59.803636128139914,2.0,6.0,11
NGC3877,0.0012499999999999996,,0.0,15.333527837656842,True,0.0,3.0,6.0,10
NGC3893,0.0012499999999999996,,471.8615557623842,10.24810988652664,True,27.92093954893201,2.0,6.0,9
NGC3917,0.0012499999999999996,,6264.272933871919,1.483146296540453,True,17.22078308371715,3.0,6.0,14
NGC3949,0.0012499999999999996,,0.0,19.19549994416925,True,0.0,3.0,6.0,5
NGC3953,0.0012499999999999996,,0.0,8.24489240196974,True,0.0,0.0,6.0,8
NGC3972,0.0012499999999999996,,5043.344701436103,1.9695571438142248,True,10.09137547677637,3.0,6.0,7
NGC3992,0.0012499999999999996,,20982.00125536158,5.349593504081079,True,42.67857349417442,0.0,6.0,9
NGC4010,0.0012499999999999996,,3169.7944201010555,5.186858427232971,True,22.553452256341558,3.0,6.0,9
NGC4013,0.0012499999999999996,,6084.453461499522,21.22599137461447,True,400.430576035889,0.0,6.0,36
NGC4051,0.0012499999999999996,,0.0,13.622270792677327,True,0.0,2.0,6.0,6
NGC4068,0.0012499999999999996,,222.39995706856752,1.5350915680059796,True,5.383872254344212,0.0,6.0,6
NGC4085,0.0012499999999999996,,0.0,11.309643786763907,True,0.0,3.0,6.0,4
