Galaxy,Q,inc0,nll_R,chi_R,nll_Y,chi_Y,bY,nll_N,chi_N,bN,N
CamB,2,65.0,132.26787728601397,10.661329165811543,49.17450333434682,1.4287320600707485,False,49.17450333434682,1.4287320600707485,False,9
D512-2,2,56.0,18.86472080171239,0.06754458154778104,20.571171016031595,0.6722276477228489,True,18.540098769264365,0.08797468629034298,True,4
D564-8,2,63.0,31.195827990959593,1.1642030214143686,40.784734578460636,2.7623541193312087,True,25.687258162460285,0.24610804999781719,True,6
D631-7,1,59.0,191.19569282135458,7.756905304423421,388.32894001233433,20.157356471802288,True,109.4380504830722,2.6874164949571857,True,16
DDO064,1,60.0,75.16155320151192,0.3885664206127566,74.40223146307153,0.3936645661389809,True,75.9145941207328,0.4423550576999616,True,14
DDO154,2,64.0,61.357920941840774,1.0780584347411672,172.45460439287575,10.336115388994083,True,58.61063708288291,0.8491181131613453,True,12
DDO161,1,70.0,162.84523618658272,1.0395568346025708,446.8514753496727,10.264580154171663,True,142.52625146950078,0.43680350203890433,True,31
DDO168,2,63.0,78.55626512158595,3.738743566147879,120.13382214478148,7.936408724419662,True,62.76862799291791,2.186532205999106,True,10
DDO170,2,66.0,37.81761665069051,0.6806066728418524,67.07612834791267,4.3494143997435195,True,37.53894643231847,0.6572666602942443,True,8
ESO079-G014,1,79.0,123.16516680464005,3.0570695697491015,172.4024564533164,6.339555546327525,False,121.89610950347799,2.97246574967163,True,15
ESO116-G012,1,74.0,89.81733934016867,1.7170437068359619,437.3241738726027,24.913296442402633,False,89.6680278513015,1.7070896075781508,True,15
ESO444-G084,2,32.0,36.37361447142063,0.8467534228757508,84.36301449235553,7.8469400910118905,True,32.13600107653495,0.2413800807492257,True,7
ESO563-G021,1,83.0,660.9890431285336,16.00245361963531,1211.1557248475187,34.333529717787265,False,663.0309233943002,16.070516295160868,True,30
F561-1,3,24.0,46.10304412973194,0.6937694917319316,34.153798204887536,0.40449774935039456,True,33.97624335832516,0.37490527492333214,True,6
F563-1,1,25.0,125.66408771173755,1.0247684852510912,149.13597546912663,2.763984743771615,False,121.13520194741905,0.9499313424769805,True,17
F563-V1,3,60.0,36.92785619850267,0.3929142205061513,31.140767944449557,0.13337509946404622,True,31.14799343124017,0.13457934726248177,True,6
F563-V2,1,29.0,71.96684039606745,0.45086693302599273,61.75113362263702,0.1600354405699483,False,65.12445414669672,0.3153655254729061,True,10
F565-V2,2,60.0,42.66815927196539,0.3021176824953713,71.1553305414971,4.501048466774163,True,41.637776606867426,0.2842550475413531,True,7
