Galaxy,mu,chi2_pt,N
CamB,0.4570881896148751,5.01239280441594,9
D512-2,0.6918309709189365,1.2298745045947408,4
D564-8,0.7943282347242815,1.3611572427258516,6
D631-7,0.5754399373371569,2.3547288708362415,16
DDO064,0.7943282347242815,0.2944438980913397,14
DDO154,0.7943282347242815,0.4136552511867823,12
DDO161,0.2754228703338167,4.069593272925079,31
DDO168,0.7585775750291838,1.2578975907740837,10
DDO170,0.5754399373371569,3.012577450241899,8
ESO079-G014,0.7244359600749901,2.212766741869009,15
ESO116-G012,0.9120108393559099,1.3993870249368259,15
ESO444-G084,1.4454397707459277,2.4420188554393993,7
ESO563-G021,0.9120108393559099,11.83794503488704,30
F561-1,0.251188643150958,10.844895522420792,6
F563-1,1.7378008287493754,1.1629697478685006,17
F563-V1,0.34673685045253166,15.302877254765482,6
F563-V2,1.8197008586099834,0.7037849515737684,10
F565-V2,1.2589254117941675,0.7040653604838756,7
F567-2,0.5248074602497727,3.4188653185054085,5
F568-1,1.9952623149688797,0.8849565125701652,12
F568-3,0.7585775750291838,1.1549020586786791,18
F568-V1,2.187761623949553,0.2939135850267919,15
F571-8,0.5754399373371569,22.77373527912774,13
F571-V1,0.7244359600749901,0.42405979507163866,7
F574-1,0.8709635899560807,1.021762385439547,14
F574-2,0.34673685045253166,13.746882575548662,5
F579-V1,1.0,2.103718328204154,14
F583-1,1.1481536214968828,1.0298074567849527,25
F583-4,0.5495408738576246,0.22797782020989513,12
IC2574,0.2630267991895382,0.7620271934464861,34
IC4202,0.660693448007596,15.309611543904118,32
KK98-251,0.6309573444801932,2.3036463663461206,15
NGC0024,1.4454397707459277,0.39206360045563393,29
NGC0055,0.2754228703338167,1.2668090249554673,21
NGC0100,0.5754399373371569,0.9351418594055241,21
NGC0247,0.6309573444801932,0.34397729505065155,26
NGC0289,0.4570881896148751,3.0636634949731474,28
NGC0300,0.8317637711026711,0.5046210467463552,25
NGC0801,0.4570881896148751,15.154699901201873,13
NGC0891,0.4570881896148751,6.134706992273798,18
NGC1003,0.5248074602497727,1.1441839222712942,36
NGC1090,0.4570881896148751,2.2180245214114422,24
NGC1705,1.8197008586099834,0.4993585664506179,14
NGC2366,0.4168693834703354,1.4769210866200158,26
NGC2403,0.6918309709189365,1.7326018077968508,73
NGC2683,0.6025595860743578,1.3358406546407933,11
NGC2841,1.2022644346174132,4.072285958976718,50
NGC2903,0.5011872336272722,10.8421814636569,34
NGC2915,2.0892961308540396,3.636283243008357,30
NGC2955,0.5754399373371569,5.207268646210312,24
NGC2976,0.5011872336272722,0.4241298548160197,27
NGC2998,0.5754399373371569,3.114814582901547,13
NGC3109,1.318256738556407,0.7298267088661238,25
NGC3198,0.5495408738576246,0.6794029062646534,43
NGC3521,0.5754399373371569,0.7928780423683596,41
NGC3726,0.3630780547701014,1.7553594086458129,12
NGC3741,0.9120108393559099,0.5527861833640552,21
NGC3769,0.436515832240166,0.7012471742284877,12
NGC3877,0.4570881896148751,6.29734990450829,13
NGC3893,0.6025595860743578,1.466224976856697,10
NGC3917,0.6309573444801932,1.1294766618406022,17
NGC3949,0.47863009232263837,0.44373028453339086,7
NGC3953,0.5754399373371569,1.7994218801511985,8
NGC3972,0.7244359600749901,0.9510391718572627,10
NGC3992,0.7585775750291838,1.9561022604280163,9
NGC4010,0.5011872336272722,1.9570194120292206,12
NGC4013,0.5248074602497727,1.7330901804383732,36
NGC4051,0.39810717055349726,1.571016638987102,7
NGC4068,0.5754399373371569,2.741390104066225,6
NGC4085,0.39810717055349726,3.9165310303460785,7
NGC4088,0.28840315031266056,0.6529777908090416,12
NGC4100,0.660693448007596,1.2664223159232515,24
NGC4138,0.6918309709189365,0.8984254118757906,7
NGC4157,0.4168693834703354,0.5523799878466487,17
NGC4183,0.5495408738576246,1.294060648300826,23
NGC4214,1.2022644346174132,1.204669758191793,14
NGC4217,0.3801893963205612,9.922972060613455,19
NGC4389,0.251188643150958,10.399448053447456,6
NGC4559,0.34673685045253166,0.6366111953110467,32
NGC5005,0.5754399373371569,0.1784240322543481,18
NGC5033,0.660693448007596,3.3275821765019953,22
NGC5055,0.3801893963205612,0.6279377498134718,28
NGC5371,0.3801893963205612,18.971635472705692,19
NGC5585,0.47863009232263837,1.184027528969948,24
NGC5907,0.6025595860743578,6.658043064928481,19
NGC5985,1.2589254117941675,12.719705743225282,33
NGC6015,0.7244359600749901,1.8667400803604977,44
NGC6195,0.5011872336272722,6.172644023654179,23
NGC6503,0.6025595860743578,0.630262011951901,31
NGC6674,0.8317637711026711,3.690714744383466,15
NGC6789,1.318256738556407,1.8718509697076349,4
NGC6946,0.47863009232263837,0.3954733690010404,58
NGC7331,0.436515832240166,2.1707420320034867,36
NGC7793,0.5754399373371569,0.6910697222215173,46
NGC7814,0.8709635899560807,6.5444575965364615,18
PGC51017,0.47863009232263837,9.848696941731342,6
UGC00128,0.8317637711026711,1.8571341214182782,22
UGC00191,0.8317637711026711,0.8047444355546872,9
UGC00634,0.8709635899560807,0.6234431154095788,4
UGC00731,1.3803842646028848,2.0077459603567496,12
UGC00891,0.7585775750291838,1.3868870004241434,5
UGC01230,0.8317637711026711,2.681992751675778,11
UGC01281,0.6918309709189365,0.23769395478727467,25
UGC02023,0.6025595860743578,2.1973035650511488,5
UGC02259,1.3803842646028848,0.7288233528277459,8
UGC02455,0.251188643150958,16.668083643896274,8
UGC02487,1.1481536214968828,1.1732960085611934,17
UGC02885,0.7244359600749901,2.4063363124761263,19
UGC02916,0.5754399373371569,3.4479384764606746,43
UGC02953,0.7585775750291838,4.308084044481833,115
UGC03205,0.7943282347242815,3.8070795039550744,48
UGC03546,0.5495408738576246,0.6871918463352795,30
UGC03580,0.3019951720402016,2.0754152222073885,47
UGC04278,0.8709635899560807,1.1444204439279932,25
UGC04305,0.251188643150958,10.149761450398374,22
UGC04325,1.3803842646028848,1.3909179798755578,8
UGC04483,0.8709635899560807,0.6848990679611874,8
UGC04499,0.5495408738576246,0.9258290941619918,9
UGC05005,0.5011872336272722,1.0432320447073855,11
UGC05253,0.6918309709189365,1.1357962285628591,73
UGC05414,0.5754399373371569,1.0823472983106834,6
UGC05716,0.9549925860214359,0.2756674488085327,12
UGC05721,1.7378008287493754,2.2049753175407187,23
UGC05750,0.5248074602497727,1.4802823855411795,11
UGC05764,1.5135612484362084,1.3540581503664595,10
UGC05829,0.6918309709189365,1.0839968194724074,11
UGC05918,0.8317637711026711,0.4676746975084852,8
UGC05986,1.096478196143185,1.3489797743632495,15
UGC05999,0.6309573444801932,2.4545548886173174,5
UGC06399,0.8317637711026711,0.2764606881583322,9
UGC06446,1.318256738556407,0.3018383483394681,17
UGC06614,0.47863009232263837,0.9662298243186526,13
UGC06628,0.3019951720402016,8.020707271790311,7
UGC06667,2.51188643150958,1.367852431519109,9
UGC06786,0.9549925860214359,5.232452495193043,45
UGC06787,0.8709635899560807,17.3489968065096,71
UGC06818,0.436515832240166,2.931706005986501,8
UGC06917,0.7585775750291838,0.40790122889959934,11
UGC06923,0.5495408738576246,1.1579050512072593,6
UGC06930,0.5754399373371569,1.1451882049166993,10
UGC06973,0.3311311214825911,12.540026182761201,9
UGC06983,0.9549925860214359,0.7542151803385873,17
